run_id,mode,ticker,label_horizon_days,label_threshold,precision,recall,f1,accuracy,buy_rate,positive_rate,lift,tp,fp,tn,fn,support,model_final_path,config_path,metrics_path,manifest_path,git_commit,start_time,end_time,status
20260214_235424__7c3a4a7d,finetune,TSM,40,0.1,0.4778156996587031,0.37735849056603776,0.42168674698795183,0.49105367793240556,0.388336646785951,0.4917163684559311,0.97173,280,306,461,462,1509,runs\20260214_235424__7c3a4a7d\models\finetuned\TSM\final.zip,runs\20260214_235424__7c3a4a7d\config.yaml,runs\20260214_235424__7c3a4a7d\metrics.json,runs\20260214_235424__7c3a4a7d\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T23:54:24.330951,2026-02-15T00:16:39.670377,READY
20260214_235424__7c3a4a7d,base,ALL,40,0.1,0.608843537414966,0.5003993610223643,0.5493204734765453,0.5458360945438481,0.4546056991385023,0.5531256903026287,1.100733,1253,805,1218,1251,4527,runs\20260214_235424__7c3a4a7d\models\base\final.zip,runs\20260214_235424__7c3a4a7d\config.yaml,runs\20260214_235424__7c3a4a7d\metrics.json,runs\20260214_235424__7c3a4a7d\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T23:54:24.330951,2026-02-15T00:16:39.670377,READY
20260215_001639__73db18fe,finetune,NVDA,40,0.15,0.6082771896053898,0.7391812865497076,0.6673706441393875,0.5825049701789264,0.6885354539430086,0.5666003976143141,1.073556,632,407,247,223,1509,runs\20260215_001639__73db18fe\models\finetuned\NVDA\final.zip,runs\20260215_001639__73db18fe\config.yaml,runs\20260215_001639__73db18fe\metrics.json,runs\20260215_001639__73db18fe\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-15T00:16:39.687690,2026-02-15T00:32:07.134206,READY
20260215_001639__73db18fe,finetune,GOOGL,40,0.15,0.3263473053892216,0.35855263157894735,0.34169278996865204,0.7216699801192843,0.22133863485752153,0.20145791915175612,1.619928,109,225,980,195,1509,runs\20260215_001639__73db18fe\models\finetuned\GOOGL\final.zip,runs\20260215_001639__73db18fe\config.yaml,runs\20260215_001639__73db18fe\metrics.json,runs\20260215_001639__73db18fe\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-15T00:16:39.687690,2026-02-15T00:32:07.134206,READY
20260215_001639__73db18fe,finetune,TSM,40,0.15,0.3247011952191235,0.34754797441364604,0.3357363542739444,0.5725646123260437,0.3326706428098078,0.3108018555334659,1.044721,163,339,701,306,1509,runs\20260215_001639__73db18fe\models\finetuned\TSM\final.zip,runs\20260215_001639__73db18fe\config.yaml,runs\20260215_001639__73db18fe\metrics.json,runs\20260215_001639__73db18fe\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-15T00:16:39.687690,2026-02-15T00:32:07.134206,READY
20260215_001639__73db18fe,base,ALL,40,0.15,0.48213333333333336,0.5552825552825553,0.5161290322580646,0.6255798542080848,0.414181577203446,0.3596200574331787,1.340674,904,971,1928,724,4527,runs\20260215_001639__73db18fe\models\base\final.zip,runs\20260215_001639__73db18fe\config.yaml,runs\20260215_001639__73db18fe\metrics.json,runs\20260215_001639__73db18fe\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-15T00:16:39.687690,2026-02-15T00:32:07.134206,READY
20260215_101232__f9693061,finetune,TSM,120,0.2,0.6288343558282209,0.5283505154639175,0.5742296918767508,0.5970841616964877,0.4320742213386349,0.5142478462557986,1.222824,410,242,491,366,1509,runs\20260215_101232__f9693061\models\finetuned\TSM\final.zip,runs\20260215_101232__f9693061\config.yaml,runs\20260215_101232__f9693061\metrics.json,runs\20260215_101232__f9693061\manifest.json,12d59e9faf4a5526f9bd8645b8f60bd04e146655,2026-02-15T10:12:32.454639,2026-02-15T10:21:42.058137,READY
20260215_101232__f9693061,base,ALL,120,0.2,0.6288343558282209,0.5283505154639175,0.5742296918767508,0.5970841616964877,0.4320742213386349,0.5142478462557986,1.222824,410,242,491,366,1509,runs\20260215_101232__f9693061\models\base\final.zip,runs\20260215_101232__f9693061\config.yaml,runs\20260215_101232__f9693061\metrics.json,runs\20260215_101232__f9693061\manifest.json,12d59e9faf4a5526f9bd8645b8f60bd04e146655,2026-02-15T10:12:32.454639,2026-02-15T10:21:42.058137,READY
20260215_103729__6f005090,finetune,GOOGL,60,0.1,0.5614886731391586,0.3838495575221239,0.45597897503285156,0.45129224652087474,0.4095427435387674,0.5990722332670643,0.937264,347,271,334,557,1509,runs\20260215_103729__6f005090\models\finetuned\GOOGL\final.zip,runs\20260215_103729__6f005090\config.yaml,runs\20260215_103729__6f005090\metrics.json,runs\20260215_103729__6f005090\manifest.json,12d59e9faf4a5526f9bd8645b8f60bd04e146655,2026-02-15T10:37:29.008682,2026-02-15T10:47:18.750787,READY
20260215_103729__6f005090,base,ALL,60,0.1,0.5614886731391586,0.3838495575221239,0.45597897503285156,0.45129224652087474,0.4095427435387674,0.5990722332670643,0.937264,347,271,334,557,1509,runs\20260215_103729__6f005090\models\base\final.zip,runs\20260215_103729__6f005090\config.yaml,runs\20260215_103729__6f005090\metrics.json,runs\20260215_103729__6f005090\manifest.json,12d59e9faf4a5526f9bd8645b8f60bd04e146655,2026-02-15T10:37:29.008682,2026-02-15T10:47:18.750787,READY
20260215_110550__57ef2968,finetune,GOOGL,120,0.2,0.5505464480874317,0.6106060606060606,0.5790229885057472,0.6116633532140491,0.4850894632206759,0.43737574552683894,1.258749,403,329,520,257,1509,runs\20260215_110550__57ef2968\models\finetuned\GOOGL\final.zip,runs\20260215_110550__57ef2968\config.yaml,runs\20260215_110550__57ef2968\metrics.json,runs\20260215_110550__57ef2968\manifest.json,12d59e9faf4a5526f9bd8645b8f60bd04e146655,2026-02-15T11:05:50.666413,2026-02-15T11:15:32.426940,READY
20260215_110550__57ef2968,base,ALL,120,0.2,0.5505464480874317,0.6106060606060606,0.5790229885057472,0.6116633532140491,0.4850894632206759,0.43737574552683894,1.258749,403,329,520,257,1509,runs\20260215_110550__57ef2968\models\base\final.zip,runs\20260215_110550__57ef2968\config.yaml,runs\20260215_110550__57ef2968\metrics.json,runs\20260215_110550__57ef2968\manifest.json,12d59e9faf4a5526f9bd8645b8f60bd04e146655,2026-02-15T11:05:50.666413,2026-02-15T11:15:32.426940,READY
